word	meaning	example
pause	멈춤, 일시 정지, 잠시 멈추다	I paused at the door and looked back.
stay awake	깨어 있다, 잠들지 않다	I stayed awake late to finish my essay.
co-author	공동 저자, 공동 집필자	Co-author of the report, Tom, says people do not have to live in such filth.
protagonist	(연극·영화·책 속의)주인공, 참가자	a leading protagonist of the conservation movement
phenomenon	문화/자연/사회 현상	The causes of the phenomenon are still incompletely understood.
pragmatic	실용적인, 현실적인	a pragmatic approach to management problems
spectator	관객, 구경꾼, 장면을 지켜보는 사람	Did you see a spectator running across the soccer field right in the middle of the game?
audience	관객, 청중	The audience listened carefully to the speaker.
viewer	시청자, 보는 사람	The programme attracted millions of viewers.
attendant	종업원[안내원], 수반되는	The attendant showed us to our seats.
attendance	출석, 참석, 참석자 수, 참석률	Attendance at these lectures is not compulsory.
bystander	행인, 곁에서 지켜보는 사람	innocent bystanders at the scene of the accident
observer	관찰자	According to observers, the plane exploded shortly after take-off.
witness	목격자	The police interviewed a witness after the accident.
fundamental	기본적인, 근본적인, 핵심적인	There is a fundamental difference between the two points of view.
profit	이익, 수익, 이윤, 이익을 얻다	The company made a healthy profit on the deal.
grant	승인하다, 보조금, 인정하다	The bank finally granted a £500 loan to me.
granted	주어진, 인정된, 허락된, 물론 ~이긴 하지만	They were granted refugee status.
manufacture	제조[생산]하다, (이야기·변명 등을) 지어내다	a news story manufactured by an unscrupulous journalist
verbalise	말로 표현하다	He’s a real genius but he has difficulty verbalising his ideas.
come across	우연히 마주치다, 발견하다, 인상을 주다	I hoped she’d come across with some more information.
monochromatic	단색의	The artist used a monochromatic colour scheme.
prismatic	프리즘의, 무지갯빛의	The glass created a prismatic effect in the sunlight.
very first	맨 처음의, 최초의	I still remember my very first day at university.
absence	부재, 결석, 없음	The case was dismissed in the absence of any definite proof.
otherworldly	비현실적인, 신비로운, 이 세상 것이 아닌 듯한	The landscape had an otherworldly atmosphere.
pedestal	받침대, 대좌, 높은 평가의 자리	I replaced the vase carefully on its pedestal
